year,district,candidate,candidate_key,filing_status,filing_date,pdf_label,pdf_url,question_number,inline_answer,question_text
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,1,Original,"This form is filed as an:
Page 2: City office"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,2,Councilor District 3,"I am filing for the office of:
Page 3: Candidate name"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,3,,"First name
Guy"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,4,,"Middle initial
B"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,5,,"Last name
Frankenstein"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,6,Respondent skipped this question,"Suffix
1 / 7
2026 Candidate Filing Application - AUD 120 Form"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,7,,"Name should appear on the ballot as follows (nickname or shortened version of name may be added in parentheses):
Guy Frankenstein"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,8,Respondent skipped this question,"Optional: How your name should be pronounced (phonetic
spelling):
Page 4: Certification Requirement for Auditor Candidates"
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,9,Respondent skipped this question,Select one:
2026,3,Guy Frankenstein,2026|3|guy frankenstein,Qualified,"June 26, 2026",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/frankenstein-guy-aud-120-original/download,10,Respondent skipped this question,"Acknowledgment:
Page 5: Auditor Certification Proof"
