year,district,candidate,candidate_key,filing_status,filing_date,pdf_label,pdf_url,question_number,inline_answer,question_text
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,1,Original,This form is filed as an:
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,2,,"First name
Bruce"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,3,,"Middle initial
J"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,4,,"Last name
Allen"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,5,,"Suffix
Jr"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,6,,"Name should appear on ballot as follows (nicknames or shortened versions of names in parenthesis):
Joe Allen
Page 2: Candidate Information
1 / 8
Candidate Filing Application"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,7,Councilor District 1 (4-Year Term),"I am filing to be a candidate for the following office:
Page 3: Certification Requirement for Auditor Candidates"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,8,Respondent skipped this question,Select one:
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,9,Respondent skipped this question,"Please acknowledge:
Page 4: Upload Files for Certification Requirement for Auditor Candidates"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,10,Respondent skipped this question,"City Auditor candidate applicants may upload proof of
certification below if not submitting certification by email or
in person.
Page 5: Candidate Information: Residential and Mailing Addresses"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,11,,"Candidate Residence Address
Street address line 1
City
State
Zip code
County"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,12,Yes,"Have you resided at this address since November 5,
2023?"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,13,Respondent skipped this question,"If not, list the address(es) you have resided at since
November 5, 2023:
2 / 8
Candidate Filing Application"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,14,Yes,"Mailing and Residential Address are the same.
Page 6: Candidate Information: Mailing Addresses"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,15,Respondent skipped this question,"Candidate Mailing Address
Page 7: Candidate Contact Information"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,16,,"Primary phone number
9719402577"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,17,Respondent skipped this question,Alternate phone number
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,18,,"Campaign phone number
9719402577"
2024,1,Joe Allen,2024|1|joe allen,Qualified,"August 27, 2024",Candidate Filing Application,https://www.portland.gov/auditor/elections/documents/joe-allen-aud-120-2/download,19,,"Campaign website (if applicable)
joeallenforportland.com"
