year,district,candidate_a,candidate_b,boost_a_given_b,boost_b_given_a,boost_mean,boost_asymmetry
2024,1,Candace Avalos,Steph Routh,0.18339325421766595,0.16834589824444657,0.17586957623105626,0.015047355973219378
2024,1,Candace Avalos,Jamie Dunphy,0.1710756386205745,0.14190358132312447,0.1564896099718495,0.029172057297450038
2024,1,Candace Avalos,Loretta Smith,-0.004048420399824004,-0.0032697171810497916,-0.003659068790436898,-0.0007787032187742127
2024,1,Candace Avalos,Timur Ender,0.20014428893403402,0.15152613386850255,0.1758352114012683,0.048618155065531465
2024,1,Candace Avalos,Terrence Hayes,-0.047234062739997584,-0.033870134269077146,-0.040552098504537365,-0.013363928470920439
2024,1,Candace Avalos,Noah Ernst,-0.1767278097572738,-0.0921140234446903,-0.13442091660098204,-0.08461378631258351
2024,1,Candace Avalos,David Linn,0.06243643634303986,0.026144398996834045,0.04429041766993695,0.03629203734620581
2024,1,Candace Avalos,Cayle Tern,0.23581926073016835,0.09596076352791377,0.16589001212904106,0.13985849720225457
2024,1,Candace Avalos,Doug Clove,-0.2687698193001972,-0.0916499410763191,-0.18020988018825818,-0.17711987822387812
2024,1,Candace Avalos,Deian Salazar,-0.0653855133147137,-0.015451500923430339,-0.04041850711907202,-0.04993401239128337
2024,1,Candace Avalos,Michael (Mike) Sands,-0.11716290896069342,-0.0273399413912859,-0.07225142517598966,-0.08982296756940752
2024,1,Candace Avalos,Joe Allen,-0.19790195452007353,-0.04403845083068955,-0.12097020267538154,-0.15386350368938398
2024,1,Candace Avalos,Joe Furi,-0.2238179999113964,-0.04090983336953265,-0.1323639166404645,-0.18290816654186376
2024,1,Candace Avalos,Peggy Sue Owens,-0.024176992800758912,-0.004200870577362736,-0.014188931689060824,-0.019976122223396175
2024,1,Candace Avalos,Thomas Shervey,-0.15726251838585503,-0.02476847586020539,-0.09101549712303021,-0.13249404252564964
2024,1,Candace Avalos,Uncertified Write In,-0.27833785272051825,-0.008037510185444524,-0.14318768145298139,-0.27030034253507373
2024,1,Steph Routh,Jamie Dunphy,0.22462851340943168,0.20297889641253436,0.21380370491098302,0.021649616996897325
2024,1,Steph Routh,Loretta Smith,0.01960650142308079,0.017250651741325063,0.018428576582202927,0.0023558496817557284
2024,1,Steph Routh,Timur Ender,0.15686657209292976,0.12937654952752498,0.14312156081022737,0.02749002256540478
2024,1,Steph Routh,Terrence Hayes,-0.021527718605238277,-0.0168166870337495,-0.01917220281949389,-0.004711031571488777
2024,1,Steph Routh,Noah Ernst,-0.13936749112157798,-0.07913400694506034,-0.10925074903331916,-0.06023348417651764
2024,1,Steph Routh,David Linn,0.08188663393230577,0.037353765889668294,0.059620199910987035,0.04453286804263748
2024,1,Steph Routh,Cayle Tern,0.08132699456348425,0.03605204979157198,0.05868952217752811,0.04527494477191227
2024,1,Steph Routh,Doug Clove,-0.20073545025042633,-0.07456870223833108,-0.1376520762443787,-0.12616674801209526
2024,1,Steph Routh,Deian Salazar,-0.10410718689617865,-0.02680097932718649,-0.06545408311168258,-0.07730620756899216
2024,1,Steph Routh,Michael (Mike) Sands,-0.08339965202372607,-0.021200811737538197,-0.05230023188063213,-0.06219884028618787
